"title","rating","posterURL","ratingCount","releaseDate","genres"
"The Simpsons Movie (2007)","7.3","https://m.media-amazon.com/images/M/MV5BMTgxMDczMTA5N15BMl5BanBnXkFtZTcwMzk1MzMzMw@@._V1_UX182_CR0,0,182,268_AL_.jpg","300,741","27 July 2007 (USA)","[""Animation"",""Adventure"",""Comedy""]"
"Life of Pi (2012)","7.9","https://m.media-amazon.com/images/M/MV5BNTg2OTY2ODg5OF5BMl5BanBnXkFtZTcwODM5MTYxOA@@._V1_UX182_CR0,0,182,268_AL_.jpg","557,636","21 November 2012 (USA)","[""Adventure"",""Drama"",""Fantasy""]"
